Name;Short.Code;Functional.Group;NewLabel;BA_Tiela_Suggestion;GF_Tiela_Suggestion;Note
Acanthastrea;Acan;Hard coral;Acanthastrea;Acanthastrea;;
Acanthastrea;Acanth;Hard coral;Acanthastrea;Acanthastrea;;
Acanthastrea (encrusting);Acan_enc;Hard coral;NA;Acanthastrea;Encrusting;
Acanthastrea (massive);Acan_mas;Hard coral;NA;Acanthastrea;Massive;
Acanthastrea Bleached;ACBB;Hard coral;NA;Bleached coral;;
Acanthastrea Dead;ACDD;Hard coral;NA;Dead coral;;
Acanthastrea echinata;AcEch;Hard coral;NA;Acanthastrea echinata;;Need to add to MERMAID database
Acropora;Acrop;Hard coral;Acropora;Acropora;;
Acropora (arborescent);Acr_arb;Hard coral;NA;Acropora;Arborescent;
Acropora (corymbose);Acr_corym;Hard coral;NA;Acropora;Corymbose;
Acropora (digitate);Acr_dig;Hard coral;NA;Acropora;Digitate;
Acropora arabensis;AcArab;Hard coral;NA;Acropora arabensis;;Added to MERMAID database
Acropora clathrata;AcClath;Hard coral;NA;Acropora clathrata;;Added to MERMAID database
Acropora downingi;AcDown;Hard coral;NA;Acropora downingi;;Added to MERMAID database
Acropora pharaonis;AcrPhar;Hard coral;NA;Acropora pharaonis;;Need to add to MERMAID database
Acropora tortuosa;AcTort;Hard coral;NA;Acropora tortuosa;;Need to add to MERMAID database
Algae (fleshy);FALG;Algae;NA;Macroalgae;;
Algae (fleshy);AL_fleshy;Algae;NA;Macroalgae;;
All other;Other;Other;NA;Other;;
Alveopora tizardi;AlTiz;Hard coral;NA;Alveopora tizardi;;Need to add to MERMAID database
Anemone;Anemone;Other Invertebrates;Anemone;Anemone;;
Anemone, unidentified;ANUN;Other Invertebrates;NA;Anemone;;
Anomastraea;Anom;Hard coral;Anomastraea;Anomastraea;;
Anomastraea;Anoma;Hard coral;Anomastraea;Anomastraea;;
Anomastraea irregularis;AnIrr;Hard coral;NA;Anomastraea irregularis;;Need to add to MERMAID database
Ascidian;ASCD;Other Invertebrates;Ascidian;Ascidian;;
Ascidian, unidentified;ASCI;Other Invertebrates;NA;Ascidian;;
Astreopora;Astreo;Hard coral;Astreopora;Astreopora;;
Astreopora (massive);Asreo_mas;Hard coral;NA;Astreopora;Massive;
Bivalve;Bivalve;Other Invertebrates;NA;Bivalvia;;Need to add to MERMAID database
Bivalve;Bvv;Other Invertebrates;NA;Bivalvia;;Need to add to MERMAID database
Bivalvia;;;;Bivalvia;;
bivalve, unidentified;Biv;Other Invertebrates;NA;Bivalvia;;Or Bivalve? But we need to add this to MERMAID database
Blastomussa;Blast;Hard coral;Blastomussa;Blastomussa;;
Blastomussa_encrusting;Bla_en;Hard coral;NA;Blastomussa;Encrusting;
Blastomussa_massive;Bla_mas;Hard coral;NA;Blastomussa;Massive;
Bleached Acanthastrea;BAcan;Hard coral;NA;Bleached coral;;
Bleached Acropora;BlAcro;Hard coral;NA;Bleached coral;;
Bleached Acropora;B_Acro;Hard coral;NA;Bleached coral;;
Bleached Anomastraea;B_Anon;Hard coral;NA;Bleached coral;;
Bleached Astreopora;B_Astreo;Hard coral;NA;Bleached coral;;
Bleached Coscinarea;B_Cosc;Hard coral;NA;Bleached coral;;
Bleached Cycloseris;B_Cyclo;Hard coral;NA;Bleached coral;;
Bleached Cyphastrea;B_Cyph;Hard coral;NA;Bleached coral;;
Bleached Echinophyllia;B_Echin;Hard coral;NA;Bleached coral;;
Bleached Echinopora;B_Echinop;Hard coral;NA;Bleached coral;;
Bleached Favia (Indo-Pacific);BFavia;Hard coral;NA;Bleached coral;;
Bleached Favites;BFav;Hard coral;NA;Bleached coral;;
Bleached Favites;B_Favites;Hard coral;NA;Bleached coral;;
Bleached Galaxea;BGalax;Hard coral;NA;Bleached coral;;
Bleached Gardineroseris;BGard;Hard coral;NA;Bleached coral;;
Bleached Goniastrea;BGon;Hard coral;NA;Bleached coral;;
Bleached Goniopora;B_Goniop;Hard coral;NA;Bleached coral;;
Bleached Hard Coral;BLHard;Hard coral;NA;Bleached coral;;
Bleached Hydnophora;Bhydno;Hard coral;NA;Bleached coral;;
Bleached Leptastrea;B_Leptastr;Hard coral;NA;Bleached coral;;
Bleached Leptoseris;Bleptos;Hard coral;NA;Bleached coral;;
Bleached Lobophyllia sp.;B_Lobo;Hard coral;NA;Bleached coral;;
Bleached Madracis;BMADR;Hard coral;NA;Bleached coral;;
Bleached Montipora;B_Monti;Hard coral;NA;Bleached coral;;
Bleached Oxypora;B_Oxyp;Hard coral;NA;Bleached coral;;
Bleached Pavona;Bpav;Hard coral;NA;Bleached coral;;
Bleached Pavona;B_Pavona;Hard coral;NA;Bleached coral;;
Bleached Platygyra;B_Plat;Hard coral;NA;Bleached coral;;
Bleached Plesiastrea;B_Ples;Hard coral;NA;Bleached coral;;
Bleached Pocillopora;B_Pocillo;Hard coral;NA;Bleached coral;;
Bleached Porites;B_Porit;Hard coral;NA;Bleached coral;;
Bleached Psammocora;B_Psam;Hard coral;NA;Bleached coral;;
Bleached Siderastrea;B_SID;Hard coral;NA;Bleached coral;;
Bleached Stylocoeniella;Bstyloco;Hard coral;NA;Bleached coral;;
Bleached Stylophora;B_Styloph;Hard coral;NA;Bleached coral;;
Bleached Turbinarea;B_TURB;Hard coral;NA;Bleached coral;;
Bleaching Leptastrea;B_Lepta;Hard coral;NA;Bleached coral;;
Broken coral rubble;Rubble;Other;NA;Rubble;;
Broken coral rubble;C-Rubble;Other;NA;Rubble;;
Bryozoan;bryozoan;Other Invertebrates;Bryozoan;Bryozoan;;
Bryozoan;Brz;Other Invertebrates;Bryozoan;Bryozoan;;
CCA (crustose coralline algae);CCA;Algae;NA;Crustose coralline algae;;
Coscinaraea;COSC;Hard coral;Coscinaraea;Coscinaraea;;
Coscinaraea (encrusting);Co_enc;Hard coral;NA;Coscinaraea;Encrusting;
Coscinaraea columna;CoCol;Hard coral;NA;Psammocora columna;;Need to add to MERMAID database
Coscinaraea monile;CosMon;Hard coral;NA;Coscinaraea monile;;Need to add to MERMAID database
Coscinaraea spp._bleached;COSC_BL;Hard coral;NA;Bleached coral;;
Coscinaraea_massive;cosmas;Hard coral;NA;Coscinaraea;Massive;
Crustose coralline algae;CCA 1;Algae;Crustose coralline algae;Crustose coralline algae;;
Cyanobacteria films;CYAN;Other;NA;Cyanobacteria;;
Cycloseris;Cyclo;Hard coral;Cycloseris;Cycloseris;;
Cycloseris curvata;CycCur;Hard coral;NA;Cycloseris curvata;;Need to add to MERMAID database
Cyphastrea;Cypha;Hard coral;Cyphastrea;Cyphastrea;;
Cyphastrea chalcidicum;CYPch;Hard coral;NA;Cyphastrea chalcidicum;;Need to add to MERMAID database
Cyphastrea microphthalma;CyMic;Hard coral;NA;Cyphastrea microphthalma;;Need to add to MERMAID database
Cyphastrea serailia;CySer;Hard coral;NA;Cyphastrea serailia;;Need to add to MERMAID database
Cyphastrea_columnar;cypcol;Hard coral;NA;Cyphastrea;Columnar;
Cyphastrea_encrusting;cypenc;Hard coral;NA;Cyphastrea;Encrusting;
Cyphastrea_massive;cypmas;Hard coral;NA;Cyphastrea;Massive;
Dead Acropora;Dead Acrop;Hard coral;NA;Dead coral;;
Dead Acropora (branching);DAcropBra;Hard coral;NA;Dead coral;;
Dead coral;Dead;Hard Substrate;Dead coral;Dead coral;;
Dead coral;D_coral;Hard Substrate;Dead coral;Dead coral;;
Dead coral with algae;DeadAlg;Other;NA;Macroalgae;;
Dead Favites;Dfav;Hard coral;NA;Dead coral;;
Dead Madracis;D_MAD;Hard Substrate;NA;Dead coral;;
Dead Merulinidae;DMer;Hard coral;NA;Dead coral;;
Dead Montipora;Dmonti;Hard coral;NA;Dead coral;;
Dead Pocillopora;D_Pocillo;Hard coral;NA;Dead coral;;
Dead Porites massive;PorMass-D;Hard coral;NA;Dead coral;;
Dead seagrass;D_Seagrass;Seagrass;NA;Seagrass;;
Dead seagrass;DeadSG;Seagrass;NA;Seagrass;;
Diadema setosum;Dset;Other Invertebrates;Diadema setosum;Diadema setosum;;
Diaseris fragilis;;;;Cycloseris fragilis;;Accepted as Cycloseris fragilis https://www.marinespecies.org/aphia.php?p=taxdetails&id=207331
Dipsastraea;;Hard coral;;Dipsastraea;;
Dipsastraea favus;;Hard coral;;Dipsastraea favus;;
Dipsastraea pallida;;Hard coral;;Dipsastraea pallida;;
Dipsastraea speciosa;;Hard coral;;Dipsastraea speciosa;;
Discosoma;DiscoS;Other Invertebrates;NA;Discosoma;;Need to add to MERMAID database
Echinoderms: Sea Urchins: Pencil Urchins;E_E_RegPen;Other Invertebrates;NA;Sea urchin;;
Echinometra mathaei;EMath;Other Invertebrates;NA;Other invertebrates;;Or Echinometra mathaei? —> need to add to MERMAID database
Echinophyllia;Echinophyl;Hard coral;Echinophyllia;Echinophyllia;;
Echinophyllia;ECHIN;Hard coral;Echinophyllia;Echinophyllia;;
Echinophyllia aspera;EcAsp;Hard coral;NA;Echinophyllia aspera;;Need to add to MERMAID database
Echinophyllia_encrusting;echenc;Hard coral;NA;Echinophyllia;Encrusting;
Echinophyllia_laminar;Ech_la;Hard coral;NA;Echinophyllia;Encrusting;MERMAID doesn’t have Laminar as one of the growth form options. Would it be similar with encrusting?
Echinopora;Echinopora;Hard coral;Echinopora;Echinopora;;
Echinopora_encrusting;ecoenc;Hard coral;NA;Echinopora;Encrusting;
Echinopora_laminar;EchPora_la;Hard coral;NA;Echinopora;Encrusting;MERMAID doesn’t have Laminar as one of the growth form options. Would it be similar with encrusting?
Euphyllia;;Hard coral;;Euphyllia;;
Favia;;Hard coral;;Favia;;
Favia (Indo-Pacific);Favia;Hard coral;NA;Favia;;
Favia Encrusting;FavEnc;Hard coral;NA;Favia;Encrusting;
Favia favus;FaFav;Hard coral;NA;Dipsastraea favus;;Need to add to MERMAID database
Favia Massive;FavMa;Hard coral;NA;Favia;Massive;
Favia pallida;FaPall;Hard coral;NA;Dipsastraea pallida;;Need to add to MERMAID database
Favia speciosa;FaviaS;Hard coral;NA;Dipsastraea speciosa;;Need to add to MERMAID database
Favia Sub-massive;FavSM;Hard coral;NA;Favia;Submassive;
Favites;Fav;Hard coral;Favites;Favites;;
Favites;Favites;Hard coral;Favites;Favites;;
Favites (massive);Fav_mass;Hard coral;NA;Favites;Massive;
Favites abdita;FavAbd;Hard coral;NA;Favites abdita;;Need to add to MERMAID database
Favites acuticollis;FavAcu;Hard coral;NA;Favites acuticollis;;Need to add to MERMAID database
Favites chinensis;;;;Favites chinensis;;
Favites pentagona;FavPent;Hard coral;NA;Favites pentagona;;Need to add to MERMAID database
Favites Sub-massive;FaviSM;Hard coral;NA;Favites;Submassive;
Favites_encrusting;faienc;Hard coral;NA;Favites;Encrusting;
Fleshy algae;;;;Macroalgae;;
Galaxea;;;;Galaxea;;
Galaxea_encrusting;galenc;Hard coral;NA;Galaxea;Encrusting;
Galaxea_massive;galmas;Hard coral;NA;Galaxea;Massive;
Galaxea_submassive;Gal_sub;Hard coral;NA;Galaxea;Submassive;
Gardineroseris_massive;Gar_mas;Hard coral;NA;Gardineroseris;Massive;
Gastropoda;;;;Other invertebrates;;
Goniastrea;Goniastrea;Hard coral;Goniastrea;Goniastrea;;
Goniastrea_encrusting;gonenc;Hard coral;NA;Goniastrea;Encrusting;
Goniastrea_massive;gonmas;Hard coral;NA;Goniastrea;Massive;
Goniopora;Goniopora;Hard coral;Goniopora;Goniopora;;
Goniopora;Gonio;Hard coral;Goniopora;Goniopora;;
Goniopora Dead;GOD;Hard coral;NA;Dead coral;;
Goniopora lobata;GoLob;Hard coral;NA;Goniopora lobata;;Need to add to MERMAID database
Goniopora_encrusting;gnienc;Hard coral;NA;Goniopora;Encrusting;
Goniopora_massive;gnimas;Hard coral;NA;Goniopora;Massive;
Halodule uninervis;HalUni;Seagrass;Halodule uninervis;Halodule uninervis;;
Halophila;SG_HALO;Seagrass;Halophila;Halophila;;
Halophila ovalis;HOV;Seagrass;Halophila ovalis;Halophila ovalis;;
Halophila stipulacea;HalStipula;Seagrass;Halophila stipulacea;Halophila stipulacea;;
Hard coral;;Hard coral;;Hard coral;;
Heterocyathus_massive;Hereroc_ma;Hard coral;NA;Heterocyathus;Massive;
Heteropsammia_massive;Heterop;Hard coral;NA;Heteropsammia;Massive;
Holothuria;Holo;Other Invertebrates;NA;Holothuria;;Need to add to MERMAID database
Homophyllia_massive;Homo_mas;Hard coral;NA;Homophyllia;Massive;
Hydnophora;Hydno;Hard coral;Hydnophora;Hydnophora;;
Hydnophora massive;HydMa;Hard coral;NA;Hydnophora;Massive;
Hydnophora pilosa;HyPil;Hard coral;NA;Hydnophora pilosa;;Need to add to MERMAID database
Hydnophora Submassive;HydSub;Hard coral;NA;Hydnophora;Submassive;
Hydnophora_encrusting;hydenc;Hard coral;NA;Hydnophora;Encrusting;
Hydrozoa;HZ;Other Invertebrates;NA;Hydrozoa;;Need to add to MERMAID database
Hydrozoa;HYDRO;Other Invertebrates;NA;Hydrozoa;;Need to add to MERMAID database
Leptastrea;Lepta;Hard coral;Leptastrea;Leptastrea;;
Leptastrea purpurea;LPurp;Hard coral;NA;Leptastrea purpurea;;Need to add to MERMAID database
Leptastrea transversa;LeTran;Hard coral;NA;Leptastrea transversa;;Need to add to MERMAID database
Leptastrea_encrusting;letenc;Hard coral;NA;Leptastrea;Encrusting;
Leptastrea_massive;letmas;Hard coral;NA;Leptastrea;Massive;
Leptoseris;;;;Leptoseris;;
Leptoseris_encrusting;lpsenc;Hard coral;NA;Leptoseris;Encrusting;
Leptoseris_laminar;LeptoS_la;Hard coral;NA;Leptoseris;Encrusting;MERMAID doesn’t have Laminar as one of the growth form options. Would it be similar with encrusting?
Lobophyllia;Lobophyl;Hard coral;Lobophyllia;Lobophyllia;;
Lobophyllia radians;SYMra;Hard coral;NA;Lobophyllia radians;;Need to add to MERMAID database
Lobophyllia_encrusting;lobence;Hard coral;NA;Lobophyllia;Encrusting;
Lobophyllia_massive;lobmas;Hard coral;NA;Lobophyllia;Massive;
Macroalgae: Encrusting;MAEN;Algae;NA;Macroalgae;;
Madracis;Madracis;Hard coral;Madracis;Madracis;;
Madracis kirbyi;MaKirb;Hard coral;NA;Madracis kirbyi;;Need to add to MERMAID database
Montipora;Monti;Hard coral;Montipora;Montipora;;
Montipora (encrusting);Monti_encr;Hard coral;NA;Montipora;Encrusting;
Montipora aequituberculata;MoAeq;Hard coral;NA;Montipora aequituberculata;;Need to add to MERMAID database
Montipora informis;MoInfo;Hard coral;NA;Montipora informis;;Need to add to MERMAID database
Montipora spongiosa;MontiSpon;Hard coral;NA;Montipora spongiosa;;Need to add to MERMAID database
Montipora Sub-Massive;MontSubM;Hard coral;NA;Montipora;Submassive;
Montipora_digitate;Mon_di;Hard coral;NA;Montipora;Digitate;
Montipora_laminar;Mon_la;Hard coral;NA;Montipora;Encrusting;MERMAID doesn’t have Laminar as one of the growth form options. Would it be similar with encrusting?
Montipora_massive;monmas;Hard coral;NA;Montipora;Massive;
Octocoral;;;;Octocorallia;;
Other;;;;Other;;
Other hard coral;OTH-HC;Hard coral;NA;Hard coral;;
Other invertebrate;Other Inv;Other Invertebrates;NA;Other invertebrates;;
Other Invertebrates;Or_Invert;Other Invertebrates;NA;Other invertebrates;;
Oxypora;;;;Oxypora;;
Oxypora_laminar;Oxy_la;Hard coral;NA;Oxypora;Encrusting;
Parasimplastrea;;;;Blastomussa;;Unaccepted by WORMS: https://www.marinespecies.org/aphia.php?p=taxdetails&id=267699
Padina;;;;Padina;;
Pavement;;;;Rock;;
Pavona;Pavon;Hard coral;Pavona;Pavona;;
Pavona;Pavona;Hard coral;Pavona;Pavona;;
Pavona (columnar);Pav_col;Hard coral;NA;Pavona;Columnar;
